epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.82649,1.63747,3.58524,1.47673,0.00111,0.01562,0.00058,6e-05,1.42872,3.66514,1.34126,2e-05,2e-05,2e-05
2,3.88874,2.21233,3.8087,1.8379,0.00222,0.03125,0.00122,0.00018,1.42239,3.6397,1.2937,5.9406e-05,5.9406e-05,5.9406e-05
3,5.11479,2.01143,3.60692,1.87409,0.00556,0.07812,0.00304,0.00095,1.45636,3.61366,1.2676,9.802e-05,9.802e-05,9.802e-05
4,6.19388,1.58235,3.47777,1.5667,0.01556,0.21875,0.01024,0.00557,1.45743,3.56492,1.20466,0.000135842,0.000135842,0.000135842
5,7.20912,1.52717,3.26477,1.26563,0.02778,0.39062,0.02905,0.01717,1.41134,3.49056,1.12886,0.000172872,0.000172872,0.000172872
6,8.2414,1.473,3.15814,1.2733,0.02778,0.39062,0.02905,0.01717,1.41134,3.49056,1.12886,0.00020911,0.00020911,0.00020911
7,9.29267,1.43041,2.93147,1.08512,0.03556,0.5,0.0444,0.02601,1.39879,3.40542,1.06826,0.000244556,0.000244556,0.000244556
8,10.3702,1.39827,2.84591,1.21042,0.05,0.70312,0.06811,0.03737,1.37972,3.34234,1.03394,0.00027921,0.00027921,0.00027921
9,11.4753,1.4781,2.28901,1.19277,0.05,0.70312,0.06811,0.03737,1.37972,3.34234,1.03394,0.000313072,0.000313072,0.000313072
10,12.8462,1.83239,2.74799,1.53042,0.05444,0.76562,0.07863,0.04484,1.38567,3.26396,1.02499,0.000346142,0.000346142,0.000346142
11,14.2226,1.16189,2.18452,1.05489,0.05444,0.76562,0.07863,0.04484,1.38567,3.26396,1.02499,0.00037842,0.00037842,0.00037842
12,15.5458,1.58787,2.24922,1.37227,0.05556,0.78125,0.07369,0.04107,1.39193,3.14426,1.02601,0.000409906,0.000409906,0.000409906
13,16.7413,1.40228,1.36163,1.11934,0.05556,0.78125,0.07369,0.04107,1.39193,3.14426,1.02601,0.0004406,0.0004406,0.0004406
14,17.9497,1.38889,1.43016,1.05624,0.05556,0.78125,0.07369,0.04107,1.39193,3.14426,1.02601,0.000470502,0.000470502,0.000470502
15,19.2317,1.32724,1.4292,1.0522,0.04778,0.67188,0.234,0.16211,1.32264,3.00552,1.01205,0.000499612,0.000499612,0.000499612
16,20.5247,1.25252,1.18829,1.04036,0.04778,0.67188,0.234,0.16211,1.32264,3.00552,1.01205,0.00052793,0.00052793,0.00052793
17,21.8523,1.26109,1.49325,1.12558,0.04778,0.67188,0.234,0.16211,1.32264,3.00552,1.01205,0.000555456,0.000555456,0.000555456
18,23.1114,1.19834,1.24035,1.0169,0.04333,0.60938,0.29858,0.19207,1.34541,2.88871,1.01069,0.00058219,0.00058219,0.00058219
19,24.2737,1.17572,1.05781,0.99403,0.04333,0.60938,0.29858,0.19207,1.34541,2.88871,1.01069,0.000608132,0.000608132,0.000608132
