epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,17.6105,0.84298,0.73284,0.9386,0.07,0.82895,0.63872,0.42224,1.24473,2.67922,0.99052,0.000487162,0.000487162,0.000487162
43,18.0867,1.1789,1.24287,1.04453,0.06889,0.81579,0.61846,0.41123,1.21468,2.69502,0.97997,0.000490728,0.000490728,0.000490728
44,18.4763,0.87603,0.7209,0.93758,0.06889,0.81579,0.61846,0.41123,1.21468,2.69502,0.97997,0.000493898,0.000493898,0.000493898
45,18.8931,0.9523,0.81274,0.96759,0.06889,0.81579,0.58931,0.40559,1.14303,2.72979,0.9633,0.000496672,0.000496672,0.000496672
46,19.2901,1.00319,0.7562,0.93273,0.06889,0.81579,0.58931,0.40559,1.14303,2.72979,0.9633,0.00049905,0.00049905,0.00049905
47,19.6854,1.05357,0.8394,0.93065,0.06778,0.80263,0.53797,0.39429,1.07103,2.77907,0.9533,0.000501032,0.000501032,0.000501032
48,20.0688,1.02533,0.80816,1.02984,0.06778,0.80263,0.53797,0.39429,1.07103,2.77907,0.9533,0.000502618,0.000502618,0.000502618
49,20.5061,0.91949,0.76301,0.87791,0.06778,0.80263,0.48561,0.36955,1.07151,2.82707,0.95755,0.000503808,0.000503808,0.000503808
50,20.894,0.95141,0.77393,1.04068,0.06778,0.80263,0.48561,0.36955,1.07151,2.82707,0.95755,0.000504602,0.000504602,0.000504602
51,21.3082,0.93162,0.85913,0.98473,0.06667,0.78947,0.50612,0.38075,1.08889,2.88877,0.96506,0.000505,0.000505,0.000505
52,21.6825,0.82366,0.69003,0.92399,0.06667,0.78947,0.50612,0.38075,1.08889,2.88877,0.96506,0.000505002,0.000505002,0.000505002
53,22.1041,0.86693,0.75547,0.96838,0.06667,0.78947,0.50612,0.38075,1.08889,2.88877,0.96506,0.000504608,0.000504608,0.000504608
54,22.4995,0.81685,0.6864,0.93652,0.06556,0.77632,0.50969,0.37315,1.14034,2.88466,0.97751,0.000503818,0.000503818,0.000503818
55,22.8909,0.85428,0.68764,0.9545,0.06556,0.77632,0.50969,0.37315,1.14034,2.88466,0.97751,0.000502632,0.000502632,0.000502632
56,23.2521,0.89461,0.76356,1.01245,0.06556,0.77632,0.50969,0.37315,1.14034,2.88466,0.97751,0.00050105,0.00050105,0.00050105
57,23.6648,0.9119,0.73044,0.99639,0.06667,0.78947,0.55209,0.39805,1.11901,2.82491,0.97302,0.000499072,0.000499072,0.000499072
58,24.095,0.99916,0.75115,0.92583,0.06667,0.78947,0.55209,0.39805,1.11901,2.82491,0.97302,0.000496698,0.000496698,0.000496698
59,24.49,0.87548,0.79367,0.97978,0.06667,0.78947,0.55209,0.39805,1.11901,2.82491,0.97302,0.000493928,0.000493928,0.000493928
60,24.8789,0.90012,0.73473,0.96361,0.06667,0.78947,0.56448,0.43029,1.06939,2.77759,0.96166,0.000490762,0.000490762,0.000490762
61,25.2831,0.91668,0.73156,0.94321,0.06667,0.78947,0.56448,0.43029,1.06939,2.77759,0.96166,0.0004872,0.0004872,0.0004872
62,25.6582,0.94042,0.79397,0.98321,0.06667,0.78947,0.56448,0.43029,1.06939,2.77759,0.96166,0.000483242,0.000483242,0.000483242
63,26.0918,0.83342,0.73335,0.93929,0.07566,0.60745,0.56984,0.43461,1.05705,2.75897,0.95672,0.000478888,0.000478888,0.000478888
64,26.5043,0.94163,0.74351,1.06856,0.07566,0.60745,0.56984,0.43461,1.05705,2.75897,0.95672,0.000474138,0.000474138,0.000474138
65,26.8886,0.87253,0.70563,0.94184,0.07566,0.60745,0.56984,0.43461,1.05705,2.75897,0.95672,0.000468992,0.000468992,0.000468992
66,27.314,0.88338,0.75322,0.96654,1,0.40588,0.58323,0.44506,1.05265,2.67334,0.94752,0.00046345,0.00046345,0.00046345
67,27.7306,0.87432,0.73522,0.90596,1,0.40588,0.58323,0.44506,1.05265,2.67334,0.94752,0.000457512,0.000457512,0.000457512
68,28.135,0.92849,0.68446,0.99211,1,0.40588,0.58323,0.44506,1.05265,2.67334,0.94752,0.000451178,0.000451178,0.000451178
