epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.67016,1.63747,3.58524,1.47673,0,0,0,0,0,6.17947,0,2e-05,2e-05,2e-05
2,3.73066,2.02072,3.68616,1.47332,0,0,0,0,0,6.18578,0,5.9406e-05,5.9406e-05,5.9406e-05
3,4.6331,1.80893,3.4932,1.49851,0,0,0,0,0,6.19011,0,9.802e-05,9.802e-05,9.802e-05
4,5.45254,1.80121,3.38431,1.58441,0,0,0,0,0,6.191,0,0.000135842,0.000135842,0.000135842
5,6.32158,1.72055,3.3211,1.38402,0,0,0,0,0,6.18464,0,0.000172872,0.000172872,0.000172872
6,7.14885,1.63889,3.11422,1.38052,0,0,0,0,0,6.18464,0,0.00020911,0.00020911,0.00020911
7,8.05811,1.52156,2.80321,1.18845,0,0,0,0,0,6.17164,0,0.000244556,0.000244556,0.000244556
8,8.93142,1.83734,3.20708,1.40179,0,0,0,0,0,6.14665,0,0.00027921,0.00027921,0.00027921
9,9.79849,1.54218,2.0514,1.02487,0,0,0,0,0,6.14665,0,0.000313072,0.000313072,0.000313072
10,10.7104,1.37295,2.34222,0.96957,0,0,0,0,0,6.10777,0,0.000346142,0.000346142,0.000346142
11,11.6056,1.58561,1.92812,1.06228,0,0,0,0,0,6.10777,0,0.00037842,0.00037842,0.00037842
12,12.5661,1.78343,1.97741,1.09425,0,0,0,0,0,6.12025,0,0.000409906,0.000409906,0.000409906
13,13.4185,1.36318,1.28193,1.0132,0,0,0,0,0,6.12025,0,0.0004406,0.0004406,0.0004406
14,14.276,1.53408,1.615,1.06913,0,0,0,0,0,6.12025,0,0.000470502,0.000470502,0.000470502
15,15.1564,1.57501,1.43345,0.97883,0,0,0,0,0,6.26255,0,0.000499612,0.000499612,0.000499612
16,16.0618,1.29712,1.18805,0.98969,0,0,0,0,0,6.26255,0,0.00052793,0.00052793,0.00052793
17,16.9871,1.3195,1.17783,1.07158,0,0,0,0,0,6.26255,0,0.000555456,0.000555456,0.000555456
18,18.0229,1.29265,1.20373,0.97501,0,0,0,0,0,6.38204,0,0.00058219,0.00058219,0.00058219
19,18.8975,1.34934,1.22892,1.03474,0,0,0,0,0,6.38204,0,0.000608132,0.000608132,0.000608132
20,19.7762,1.22431,1.46478,1.08318,0,0,0,0,0,6.38204,0,0.000633282,0.000633282,0.000633282
21,20.9103,1.22769,1.10884,1.09491,0,0,0,0,0,7.19861,0,0.00065764,0.00065764,0.00065764
22,21.8334,1.17889,0.89458,0.98371,0,0,0,0,0,7.19861,0,0.000681206,0.000681206,0.000681206
23,22.7633,1.20526,0.9864,0.98559,0,0,0,0,0,7.19861,0,0.00070398,0.00070398,0.00070398
24,23.7322,1.28268,1.10438,1.07289,0,0,0,0,0,7.19861,0,0.000725962,0.000725962,0.000725962
25,24.6662,1.09295,0.94293,0.9748,0,0,0,0,0,10.0831,0,0.000747152,0.000747152,0.000747152
