epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.10354,1.50852,3.75237,1.67973,0,0,0,0,0,6.17979,0,2e-05,2e-05,2e-05
2,2.13442,2.51463,3.87791,1.82781,0,0,0,0,0,6.19233,0,5.9406e-05,5.9406e-05,5.9406e-05
3,3.14706,1.77828,3.49513,1.56773,0,0,0,0,0,6.19982,0,9.802e-05,9.802e-05,9.802e-05
4,4.19455,1.83422,3.61115,1.56801,0,0,0,0,0,6.20364,0,0.000135842,0.000135842,0.000135842
5,5.27167,1.57553,3.42788,1.28547,0,0,0,0,0,6.20095,0,0.000172872,0.000172872,0.000172872
6,6.28483,1.78024,3.41935,1.29085,0,0,0,0,0,6.20095,0,0.00020911,0.00020911,0.00020911
7,7.34217,1.41156,2.91654,1.26363,0,0,0,0,0,6.18153,0,0.000244556,0.000244556,0.000244556
8,8.3918,1.70501,3.02925,1.13615,0,0,0,0,0,6.14677,0,0.00027921,0.00027921,0.00027921
9,9.37764,1.76704,2.63522,1.53573,0,0,0,0,0,6.14677,0,0.000313072,0.000313072,0.000313072
10,10.4791,1.829,2.81035,1.26463,0,0,0,0,0,6.07988,0,0.000346142,0.000346142,0.000346142
11,11.8505,1.3273,1.96292,1.13094,0,0,0,0,0,6.07988,0,0.00037842,0.00037842,0.00037842
12,12.9567,1.5052,2.09264,1.09285,0,0,0,0,0,5.98042,0,0.000409906,0.000409906,0.000409906
13,14.1659,1.53775,2.05051,1.06471,0,0,0,0,0,5.98042,0,0.0004406,0.0004406,0.0004406
14,15.1937,1.4104,1.61346,1.07879,0,0,0,0,0,5.98042,0,0.000470502,0.000470502,0.000470502
15,16.1768,1.74999,2.00556,1.05415,0,0,0,0,0,5.72272,0,0.000499612,0.000499612,0.000499612
16,17.1618,1.19426,1.44228,1.07408,0,0,0,0,0,5.72272,0,0.00052793,0.00052793,0.00052793
17,18.1515,1.06474,1.20043,1.12714,0,0,0,0,0,5.72272,0,0.000555456,0.000555456,0.000555456
18,19.2108,1.46099,2.14961,1.02471,0,0,0,0,0,5.37707,0,0.00058219,0.00058219,0.00058219
19,20.1599,1.46945,4.95113,1.13073,0,0,0,0,0,5.37707,0,0.000608132,0.000608132,0.000608132
20,21.1151,0.92713,2.47411,1.02254,0,0,0,0,0,5.37707,0,0.000633282,0.000633282,0.000633282
